ERROR    | ✗ Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_7.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_8.PDF
ERROR    | Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_8.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_8.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_8.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_9.PDF
ERROR    | Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_9.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_9.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Выписка_из_ЕГРН_с_арендой_УК_Технопарк_ЛД_9.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Договор_Аренды_зданий_УК_Технопарк_ЛД.PDF
ERROR    | Ошибка при обработке Договор_Аренды_зданий_УК_Технопарк_ЛД.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Договор_Аренды_зданий_УК_Технопарк_ЛД.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Договор_Аренды_зданий_УК_Технопарк_ЛД.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в ЗУ 453.PDF
ERROR    | Ошибка при обработке ЗУ 453.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для ЗУ 453.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке ЗУ 453.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | Ошибка при обработке ЗУ 71 аренда 6345.pdf: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для ЗУ 71 аренда 6345.pdf: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке ЗУ 71 аренда 6345.pdf: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | Ошибка при обработке ЗУ 72 аренда 6067.pdf: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для ЗУ 72 аренда 6067.pdf: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке ЗУ 72 аренда 6067.pdf: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Здание д 56 690,3 кв.м..PDF
ERROR    | Ошибка при обработке Здание д 56 690,3 кв.м..PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Здание д 56 690,3 кв.м..PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Здание д 56 690,3 кв.м..PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Здание д 56 стр 1 1113,2 на уч 453.PDF
ERROR    | Ошибка при обработке Здание д 56 стр 1 1113,2 на уч 453.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Здание д 56 стр 1 1113,2 на уч 453.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Здание д 56 стр 1 1113,2 на уч 453.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | Ошибка при обработке Здание №1 - 425 УК Технопарк ЛД.pdf: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Здание №1 - 425 УК Технопарк ЛД.pdf: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Здание №1 - 425 УК Технопарк ЛД.pdf: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | Ошибка при обработке Здание №1 - 426 УК Технопарк ЛД.pdf: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Здание №1 - 426 УК Технопарк ЛД.pdf: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Здание №1 - 426 УК Технопарк ЛД.pdf: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Склад_1_473_с_арендой_УК_Технопарк_ЛД.PDF
ERROR    | Ошибка при обработке Склад_1_473_с_арендой_УК_Технопарк_ЛД.PDF: TypeError: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | Создание строки ошибки для Склад_1_473_с_арендой_УК_Технопарк_ЛД.PDF: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
ERROR    | ✗ Ошибка при обработке Склад_1_473_с_арендой_УК_Технопарк_ЛД.PDF: str: log_file_processing_success() takes from 2 to 3 positional arguments but 4 were given
WARNING  | ⚠️ ВНИМАНИЕ: Извлечено очень мало текста (0 символов)
WARNING  | PDF может быть сканированным или защищенным!
WARNING  | Рекомендуется использовать OCR или конвертировать PDF
WARNING  | ⚠️ Текст не извлечен. Пробуем OCR для сканированного PDF...
WARNING  | Кадастровый номер не найден
WARNING  | Кадастровый номер не найден в Склад_2_475_с_арендой_УК_Технопарк_ЛД_1.PDF
